id,state,county_name,media_market,gender,political_party,education_area,age,gender_female,gender_male,income,maritalstatus_single,maritalstatus_married,length_of_residence,has_children,number_of_children,is_homeowner,is_renter,level_of_education,religion_catholic,religion_christian,donor_political_org,donor_liberal_org,donor_conservative_org,donor_religious_org,donor_health_org,occupation_blue_collar,occupation_farmer,occupation_professional_technical,occupation_retired,purchases_apparel,purchases_book,purchases_electronic,purchases_boat,purchases_luxuryitems,has_a_cat,interests_environment,interests_outdoorgarden,interests_outdoorsport,interests_guns,interests_golf,interests_investing,interests_veteranaffairs,ethnicity_afam,ethnicity_latino,ethnicity_asian,ethnicity_white,ethnicity_other,health_insurance
851a53ffd0418f524b8c86b67d95f9e4,TX,el paso,el paso tx (las cruces nm),F,I,01-High Education Area,47,1,0,87,0,1,12,1,0,1,0,high school,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,Health Insurance Plan Blue
d9011c585cd563d882f3882a85357de3,TX,harris,houston tx,M,I,02-Medium Education Area,54,0,1,65,0,1,,1,2,0,1,high school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Uninsured
db1d046715e851c4f2492c75a53204b3,TX,matagorda,houston tx,M,R,03-Low Education Area,50,0,1,87,0,1,13,1,0,1,0,some college,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,Uninsured
0ef4b8697115745dd056d6f99a00df8a,TX,waller,houston tx,M,R,03-Low Education Area,53,0,1,87,0,1,14,1,4,1,0,high school,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,Health Insurance Plan Blue
cd8b46d9373e7d4dfa95a5f56d5ac4a3,TX,smith,tyler-longview (lufkin & nacogdoches) tx,F,D,03-Low Education Area,22,1,0,162,0,1,2,1,0,1,0,high school,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Health Insurance Plan Blue
274072555d30503ca531100ab195f8a1,TX,harris,houston tx,F,D,03-Low Education Area,24,1,0,62,1,0,0,1,0,1,0,high school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Health Insurance Plan Blue
def7f779e4fdadcbae1b116c697d59c7,TX,tarrant,dallas-ft.worth tx,F,D,01-High Education Area,59,1,0,112,0,1,11,1,1,1,0,bach degree,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,Health Insurance Plan Red
b38ec165a9169b1ae2d130692b326866,TX,hidalgo,harlingen-weslaco-brownsville-mcallen tx,F,D,03-Low Education Area,33,1,0,40,0,1,25,1,0,1,0,bach degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Health Insurance Plan Blue
0d299167e245eba9fb71ef785a940b48,TX,hidalgo,harlingen-weslaco-brownsville-mcallen tx,F,D,03-Low Education Area,20,1,0,40,1,0,21,0,0,1,0,no hs degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Uninsured
5b18c8c39642bcef1035af59c188b7b9,TX,andrews,odessa-midland tx,F,R,02-Medium Education Area,36,1,0,62,0,1,19,1,0,1,0,some college,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,Uninsured
eb09da47ece31ec3c441b6179443916d,TX,hutchinson,amarillo tx,M,R,02-Medium Education Area,43,0,1,87,0,1,1,1,0,1,0,some college,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
62dfa0e9dd9005a88d9cc4594eba53fe,TX,denton,dallas-ft.worth tx,M,R,01-High Education Area,60,0,1,87,0,1,0,0,0,1,0,some college,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
e7d2fa9d362573c319402c76a864aec9,TX,denton,dallas-ft.worth tx,F,D,01-High Education Area,37,1,0,62,0,1,1,1,4,1,0,bach degree,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,Health Insurance Plan Red
f555637d02eeed1dd3cff922531d4410,TX,travis,austin tx,F,D,01-High Education Area,22,1,0,62,1,0,4,1,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Health Insurance Plan Blue
960956ded565f11abc072bcfd48caf4e,TX,reeves,odessa-midland tx,M,D,03-Low Education Area,63,0,1,137,0,1,19,0,0,1,0,high school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Health Insurance Plan Blue
2ecc31f3f294697fa01056dbc2826112,TX,tarrant,dallas-ft.worth tx,F,D,03-Low Education Area,61,1,0,112,0,1,1,1,2,1,0,some college,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Health Insurance Plan Red
042d0ff6bcc771b4b01add4fb4f40d65,TX,maverick,san antonio tx,F,D,03-Low Education Area,57,1,0,30,0,1,14,0,0,1,0,no hs degree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Health Insurance Plan Blue
41f40ec7ca19c0d07d793346f9a3f12f,TX,harris,houston tx,M,R,01-High Education Area,52,0,1,20,0,1,12,1,2,1,0,bach degree,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,Health Insurance Plan Red
78e6d0a6cbd5283aa5350fdaa5c904a3,TX,travis,austin tx,M,D,03-Low Education Area,64,0,1,40,0,1,37,1,0,1,0,high school,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Health Insurance Plan Blue
1e8cea67bb342b56eb52848531ca232e,TX,harris,houston tx,F,R,01-High Education Area,43,1,0,137,0,1,2,1,2,1,0,bach degree,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,Health Insurance Plan Red
d4e4c859f32c9f54fdf2362ea3aa4558,TX,calhoun,houston tx,M,D,03-Low Education Area,62,0,1,20,0,1,3,1,0,1,0,bach degree,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,Health Insurance Plan Blue
94d6976dc5cdf940f9d92ca1bc29a0e3,TX,lubbock,lubbock tx,M,D,03-Low Education Area,40,0,1,30,0,1,29,1,2,1,0,no hs degree,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,Uninsured
eb1585be7753799c543e1710396fc004,TX,anderson,dallas-ft.worth tx,F,R,03-Low Education Area,52,1,0,87,0,1,29,0,0,1,0,bach degree,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,Health Insurance Plan Red
9212e15c75b5bc3d670e7c106c910359,TX,grayson,sherman tx-ada ok,F,D,02-Medium Education Area,32,1,0,87,0,1,20,0,0,1,0,high school,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
ae6396c5dc2cc1efb1d9b493c96b2c88,TX,harris,houston tx,M,D,03-Low Education Area,49,0,1,30,0,1,20,1,0,1,0,bach degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Health Insurance Plan Blue
02211750971414be2c7dfde8b9f6dbd0,TX,bell,waco-temple-bryan tx,M,D,02-Medium Education Area,40,0,1,62,0,1,3,1,0,1,0,bach degree,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Health Insurance Plan Blue
a113a233d2b327fb78a649c88f8d9bfd,TX,harris,houston tx,M,R,02-Medium Education Area,25,0,1,87,0,1,19,1,0,1,0,some college,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,Health Insurance Plan Blue
a6a699c11a9b161e292ca41bf796d450,TX,williamson,austin tx,M,R,01-High Education Area,59,0,1,87,0,1,0,1,0,1,0,bach degree,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,Health Insurance Plan Red
f6e0e51eddcb19c8d3b1a4f978f86086,TX,parker,dallas-ft.worth tx,M,R,03-Low Education Area,50,0,1,62,0,1,11,1,0,1,0,some college,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
1bbb5682f35da04194340d9becf00d6a,TX,collin,dallas-ft.worth tx,M,D,01-High Education Area,28,0,1,300,0,1,4,1,0,1,0,bach degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,Health Insurance Plan Red
eef2575527185a8c8d3182316186d322,TX,dallas,dallas-ft.worth tx,M,R,03-Low Education Area,46,0,1,62,1,0,13,1,0,1,0,some college,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,Health Insurance Plan Blue
36690b756edbf9d2dc50cbacbe3049f8,TX,hidalgo,harlingen-weslaco-brownsville-mcallen tx,M,D,02-Medium Education Area,46,0,1,62,0,1,22,0,0,1,0,high school,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Health Insurance Plan Blue
04d12e58b8b68261bf6ede0071100bcb,TX,bexar,san antonio tx,M,R,02-Medium Education Area,56,0,1,87,0,1,12,1,2,1,0,post graduate,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,Health Insurance Plan Red
b4371b9982fe0dc7973d31fb27bbdd31,TX,dallas,dallas-ft.worth tx,F,D,03-Low Education Area,30,1,0,87,1,0,3,1,0,0,1,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Health Insurance Plan Blue
9271fe0ccb0cdef4ab7b6466bf91fa54,TX,bowie,shreveport la,M,R,03-Low Education Area,62,0,1,112,0,1,14,1,0,1,0,high school,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
4e126a3e98bdd205dd7cac913b3ee805,TX,williamson,austin tx,M,R,01-High Education Area,59,0,1,87,0,1,12,1,0,1,0,high school,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,Health Insurance Plan Blue
d25d582e2a342af318b9307df147a433,TX,collin,dallas-ft.worth tx,M,R,01-High Education Area,50,0,1,20,0,1,18,0,0,1,0,some college,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,Uninsured
28185e25b282d86398f45cc3b10b856f,TX,bexar,san antonio tx,F,R,03-Low Education Area,25,1,0,62,0,1,0,1,0,1,0,bach degree,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,Health Insurance Plan Blue
0cfa6a244afd8b429b7d16d0fabea045,TX,grayson,sherman tx-ada ok,F,R,02-Medium Education Area,33,1,0,87,0,1,19,1,1,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
96dc79d729670a8418ce0ab9c1841bda,TX,harris,houston tx,F,R,01-High Education Area,42,1,0,187,1,0,16,1,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Uninsured
184639a134b8f641156fdb9a3a461b68,TX,cameron,harlingen-weslaco-brownsville-mcallen tx,M,D,02-Medium Education Area,35,0,1,40,0,1,6,1,1,1,0,high school,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Health Insurance Plan Red
2a2361f78cfe34113a1490524508a403,TX,burnet,austin tx,M,R,03-Low Education Area,58,0,1,62,0,1,19,1,0,1,0,some college,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,Health Insurance Plan Blue
9862e52091bffcf7a36b17fadcb93adb,TX,dallas,dallas-ft.worth tx,F,D,03-Low Education Area,55,1,0,112,1,0,2,1,0,0,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Health Insurance Plan Blue
069e304b4539d1f4636e9e5f3e6263f1,TX,tarrant,dallas-ft.worth tx,M,D,03-Low Education Area,64,0,1,40,0,1,24,0,0,1,0,high school,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,Health Insurance Plan Blue
f0b697f2147930a423eb41776ad556d9,TX,burleson,waco-temple-bryan tx,M,R,03-Low Education Area,64,0,1,20,0,1,11,1,1,1,0,bach degree,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,Health Insurance Plan Blue
a8ed97226a7da1be23b74c7f7a75d6ee,TX,webb,laredo tx,M,D,01-High Education Area,45,0,1,20,0,1,15,1,0,1,0,bach degree,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,Health Insurance Plan Blue
6e59098b9a108676f864e6ddd3b08da0,TX,brazos,waco-temple-bryan tx,M,R,01-High Education Area,29,0,1,112,0,1,0,1,0,1,0,bach degree,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,Health Insurance Plan Blue
b7560a884ab6d7465df574179f135e44,TX,harris,houston tx,M,R,03-Low Education Area,57,0,1,30,0,1,0,0,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Uninsured
b4021c2b20968f65d461a9eccf7d490e,TX,hood,dallas-ft.worth tx,M,R,02-Medium Education Area,61,0,1,87,0,1,29,0,0,1,0,some college,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,Health Insurance Plan Blue
2ff28f4797a21114f7c086eda9e05a05,TX,ellis,dallas-ft.worth tx,M,R,02-Medium Education Area,53,0,1,62,0,1,25,1,2,1,0,high school,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,Health Insurance Plan Red
c36cee2964783b75c02ccbd2dbd3c576,TX,wise,dallas-ft.worth tx,F,R,02-Medium Education Area,35,1,0,87,0,1,9,1,1,1,0,post graduate,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,Health Insurance Plan Red
7d955af4153bc97077907ee178fa2285,TX,denton,dallas-ft.worth tx,M,R,01-High Education Area,46,0,1,62,0,1,1,1,1,1,0,bach degree,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,Health Insurance Plan Red
68ac1eb9364a3de7ef01a1ffcb597e5c,TX,parker,dallas-ft.worth tx,M,D,03-Low Education Area,44,0,1,54,1,0,,0,0,0,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
b9dc9d2c873850161f1460f597366f0c,TX,denton,dallas-ft.worth tx,M,D,01-High Education Area,56,0,1,187,0,1,8,0,0,1,0,bach degree,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,Health Insurance Plan Red
06b6cff621c5c96b17403c8791cb3d0b,TX,howard,odessa-midland tx,F,R,03-Low Education Area,57,1,0,20,0,1,27,1,2,1,0,high school,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,Uninsured
977fa309fe86f311ed51648edb9d673f,TX,fort bend,houston tx,M,R,01-High Education Area,56,0,1,137,0,1,15,1,0,1,0,bach degree,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,Health Insurance Plan Blue
6e756c3448a26e6a4e1b9af1960112ba,TX,fort bend,houston tx,F,R,01-High Education Area,35,1,0,87,0,1,6,1,0,1,0,post graduate,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
01fefcf19c9ad69fe9b9d9ee8b6a0520,TX,harris,houston tx,F,D,03-Low Education Area,62,1,0,187,0,1,15,1,0,1,0,some college,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Health Insurance Plan Red
d906e5361d19cce83c5f71215734e622,TX,travis,austin tx,M,D,01-High Education Area,60,0,1,162,0,1,19,0,0,1,0,bach degree,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,Uninsured
378b2146ee2b2fb0200b5972e68f0c56,TX,dallas,dallas-ft.worth tx,M,I,03-Low Education Area,51,0,1,30,0,1,7,1,0,0,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
0e0eb99e22fbe20b19d0f13c8dae5cdd,TX,harris,houston tx,M,R,02-Medium Education Area,41,0,1,187,0,1,14,1,1,1,0,bach degree,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,Health Insurance Plan Blue
ccc33b18b57733c3340453e94feda528,TX,tarrant,dallas-ft.worth tx,F,R,02-Medium Education Area,27,1,0,112,0,1,15,0,0,1,0,bach degree,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,Health Insurance Plan Blue
a4528b8c3608db9f15007bd82f12f13f,TX,hidalgo,harlingen-weslaco-brownsville-mcallen tx,M,D,01-High Education Area,45,0,1,112,0,1,1,1,0,1,0,no hs degree,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,Health Insurance Plan Blue
e1267733d81cc07be4b0f588d527fdc6,TX,harris,houston tx,F,R,01-High Education Area,55,1,0,137,0,1,22,1,2,1,0,post graduate,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,Health Insurance Plan Red
f3a65fd15dae13cf0a49b15a064f8a18,TX,hidalgo,harlingen-weslaco-brownsville-mcallen tx,F,D,03-Low Education Area,31,1,0,112,1,0,17,1,1,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Health Insurance Plan Red
68761345c04a878e44c8060bd6bff24e,TX,harris,houston tx,M,D,03-Low Education Area,44,0,1,30,1,0,3,1,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Health Insurance Plan Blue
20aa24a7768b8a0cabbe5d3632541ff9,TX,harris,houston tx,M,D,03-Low Education Area,38,0,1,62,1,0,5,1,0,1,0,bach degree,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Uninsured
cf2ad4c6dc7c9eb90dcd5c700858982d,TX,ellis,dallas-ft.worth tx,F,D,03-Low Education Area,47,1,0,106,1,0,,0,0,0,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Health Insurance Plan Blue
5c58c4f3656e614cda0bf575a5d3278c,TX,harris,houston tx,F,D,03-Low Education Area,37,1,0,20,1,0,9,1,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Health Insurance Plan Blue
b71cbfef08049dd329e107fb274427d0,TX,harris,houston tx,F,D,02-Medium Education Area,49,1,0,87,0,1,14,1,1,1,0,some college,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
16d757e7cf82836b92e4176fe3565e9b,TX,llano,austin tx,M,R,01-High Education Area,26,0,1,300,0,1,4,0,0,1,0,some college,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
d0cd64469aefb5d81e640122a0bb762d,TX,rusk,tyler-longview (lufkin & nacogdoches) tx,M,R,02-Medium Education Area,25,0,1,87,0,1,26,1,0,1,0,some college,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
ff2cda769b12043b751e897d32a2544a,TX,tarrant,dallas-ft.worth tx,F,D,03-Low Education Area,53,1,0,30,1,0,1,1,2,0,1,high school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Uninsured
632416c2d03fdc549d44aae7c73e247d,TX,henderson,dallas-ft.worth tx,F,R,03-Low Education Area,28,1,0,40,0,1,4,0,0,1,0,some college,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Health Insurance Plan Blue
